German,Russian
ich,я
sie,она
das,а
ist,является
du,ты
nicht,нет
die,а
es,это
und,и
der,а
wir,мы
was,Что
zu,к
er,он
ein,а
in,в
ja,Да
mir,мне
mit,с
wie,Как
den,а
mich,мне
auf,на
dass,что
aber,но
eine,один
so,так
hat,имеет
hier,здесь
haben,иметь
für,для
sind,являются
war,был
von,от
wenn,если
dich,ты
ihr,ее
nein,нет
habe,иметь
an,в
bin,являюсь
noch,все еще
nur,только
da,там
dir,ты
sich,сам
einen,а
uns,нас
hast,иметь
dem,демография
kann,может
gut,хороший
auch,также
schon,уже
als,как
sein,быть
mal,только
jetzt,сейчас
ihn,ему
dann,затем
aus,снаружи
meine,мой
um,вокруг
im,в
wird,становится
mein,мой
bist,являются
doch,но
alles,все
weiß,белый
keine,нет
oder,или
nach,после
s,С
nichts,ничего
man,мужчина
muss,должен
werden,становиться
will,хотеть
ihnen,их
geht,идет
wo,где
etwas,что-нибудь
oh,Ой
mehr,более
bei,в
also,так
bitte,пожалуйста
immer,всегда
hab,иметь
warum,Почему
vor,до
los,Ну давай же
können,может
wieder,снова
sagen,сказать
machen,делать
danke,Спасибо
sehr,очень
alle,все
denn,потому что
mann,мужчина
tun,делать
ihm,ему
zum,для
gehen,идти
sehen,видеть
vielleicht,возможно
einem,а
wer,ВОЗ
ihre,ее
diese,этот
euch,ты
einer,один
komm,приходить
über,выше
gibt,дает
okay,ХОРОШО
wissen,знание
deine,твой
müssen,должен
soll,должен
werde,становиться
nie,никогда
wirklich,Действительно
hey,привет
kein,нет
viel,много
weg,прочь
würde,бы
tut,делает
am,в
des,из
einfach,просто
leben,жизнь
hatte,имел
zeit,время
weil,потому что
willst,хотеть
kommen,приходить
dein,твой
heute,сегодня
kommt,приходит
wollen,хотеть
damit,с этим
ganz,довольно
wäre,были
wollte,в розыске
weißt,белый
ok,ХОРОШО
sicher,безопасный
gesagt,сказал
frau,женщина
nun,так
bis,до
wurde,стал
leid,печаль
na,n/a
kannst,может
macht,мощь
dieser,этот
zurück,назад
lassen,позволять
hallo,Привет
meinen,иметь в виду
gott,Бог
seine,его
hätte,будет иметь
zwei,два
könnte,мог
genau,Точно
waren,были
zur,к
lass,позволять
klar,прозрачный
morgen,утро
leute,люди
vater,отец
schön,хороший
glaube,полагать
mr.,Мистер.
ab,прочь
gerade,прямой
tag,День
gesehen,видимый
reden,разговаривать
wohl,вероятно
liebe,любовь
sollte,должен
sagte,сказал
unsere,наш
jemand,кто-то
geld,деньги
durch,через
ob,если
keinen,нет
mutter,мать
raus,вне
gemacht,сделал
paar,пара
